where,claim,shown,recomputed,source,group,match
post,4th in the Midwest League at 33.3% HR/FB,"33.3%, 4 of 178","33.3%, 4 of 178 (tied w/ 1)",FanGraphs high_a_batted_ball,"Midwest League, 130+ PA",NO
post,"Pop-up 1.3%, 11th lowest of 479","1.3%, 11 of 479","1.3%, 11 of 479",tjstats_batter_batted_ball,"All Double-A leagues, 75+ BBE",yes
post,Line drives 28.2%,28.2%,28.2%,tjstats_batter_batted_ball,"All Double-A leagues, 75+ BBE",yes
post,Low-A is the only level with Statcast,A,A,gurevitch_tjstats_statcast,him,yes
post,"94.9 mph avg EV, 115 max (TJStats)",94.9/115.0,94.9/115.0,gurevitch_tjstats_statcast (A row),his Florida State League batted balls,yes
post,"94.9 mph avg EV, 115 max (Stats API)",94.9/115.0,94.9/115.0,gurevitch_pitches_2026_statsapi,his Florida State League batted balls,yes
post,98.7 avg EV vs 93+ (every pitch type),98.7,98.7,gurevitch_pitches_2026_statsapi,his 13 Florida State League BBE on 93+ pitches,yes
cross-check,A+ PA/HR/H/BB/SO: TJStats vs FanGraphs,273/17/73/24/75,273/17/73/24/75,TJStats vs FanGraphs,him,yes
cross-check,A+ AVG/SLG: TJStats vs FanGraphs,0.302/0.566,0.302/0.566,TJStats vs FanGraphs,him,yes
cross-check,AA PA/HR/H/BB/SO: TJStats vs FanGraphs,141/9/34/5/55,141/9/34/5/55,TJStats vs FanGraphs,him,yes
cross-check,AA AVG/SLG: TJStats vs FanGraphs,0.258/0.500,0.258/0.500,TJStats vs FanGraphs,him,yes
cross-check,AA BBE: TJ player table vs TJ league file,78,78,TJStats,him,yes
cross-check,AA regular-season pitches: TJStats vs Stats API,532,532,TJStats vs Stats API,"him, regular season",yes
cross-check,A+ regular-season pitches: TJStats vs Stats API,1015,1015,TJStats vs Stats API,"him, regular season",yes
cross-check,A regular-season pitches: TJStats vs Stats API,511,511,TJStats vs Stats API,"him, regular season",yes
